============================================
MODEL SUMMARY — WideResNet-28-4 + SE Attention
============================================
Dataset:          CIFAR-100
Total params:     5,917,092
Trainable params: 5,917,092
Epochs:           200
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov=True)
Scheduler:        CosineAnnealingLR
Augmentation:     RandomCrop + HFlip + AutoAugment + Cutout(8)
Label smoothing:  0.1
Dropout:          0.3
Best val acc:     79.67%
============================================

--- Epoch-by-epoch log ---
Epoch  62 | train_loss=2.23746 train_acc=54.57% | val_loss=2.28054 val_acc=54.81%
Epoch  63 | train_loss=2.24340 train_acc=54.62% | val_loss=2.13282 val_acc=57.87%
Epoch  64 | train_loss=2.23055 train_acc=54.84% | val_loss=2.49494 val_acc=48.31%
Epoch  65 | train_loss=2.22128 train_acc=54.93% | val_loss=2.40606 val_acc=51.31%
Epoch  66 | train_loss=2.22502 train_acc=54.93% | val_loss=2.17483 val_acc=55.58%
Epoch  67 | train_loss=2.21952 train_acc=55.14% | val_loss=2.21595 val_acc=55.89%
Epoch  68 | train_loss=2.22084 train_acc=54.98% | val_loss=2.23674 val_acc=55.84%
Epoch  69 | train_loss=2.21631 train_acc=55.44% | val_loss=2.13444 val_acc=57.20%
Epoch  70 | train_loss=2.20653 train_acc=55.40% | val_loss=2.28405 val_acc=53.49%
Epoch  71 | train_loss=2.20324 train_acc=55.53% | val_loss=2.10774 val_acc=58.33%
Epoch  72 | train_loss=2.18984 train_acc=55.89% | val_loss=2.10808 val_acc=58.40%
Epoch  73 | train_loss=2.18967 train_acc=56.08% | val_loss=2.17547 val_acc=56.76%
Epoch  74 | train_loss=2.18278 train_acc=56.24% | val_loss=2.13453 val_acc=57.83%
Epoch  75 | train_loss=2.17449 train_acc=56.57% | val_loss=2.17484 val_acc=56.41%
Epoch  76 | train_loss=2.17824 train_acc=56.58% | val_loss=2.22899 val_acc=55.03%
Epoch  77 | train_loss=2.16667 train_acc=56.82% | val_loss=2.30897 val_acc=53.53%
Epoch  78 | train_loss=2.16980 train_acc=56.55% | val_loss=2.11187 val_acc=58.93%
Epoch  79 | train_loss=2.15208 train_acc=57.18% | val_loss=2.01858 val_acc=61.07%
Epoch  80 | train_loss=2.14964 train_acc=57.27% | val_loss=2.15588 val_acc=56.19%
Epoch  81 | train_loss=2.15112 train_acc=57.15% | val_loss=2.15996 val_acc=57.54%
Epoch  82 | train_loss=2.14023 train_acc=57.57% | val_loss=2.21222 val_acc=55.51%
Epoch  83 | train_loss=2.13715 train_acc=57.62% | val_loss=2.02526 val_acc=60.95%
Epoch  84 | train_loss=2.12923 train_acc=57.86% | val_loss=2.18175 val_acc=56.28%
Epoch  85 | train_loss=2.12979 train_acc=57.82% | val_loss=2.11958 val_acc=57.88%
Epoch  86 | train_loss=2.11896 train_acc=58.28% | val_loss=2.11160 val_acc=58.34%
Epoch  87 | train_loss=2.11614 train_acc=58.07% | val_loss=2.00668 val_acc=62.22%
Epoch  88 | train_loss=2.11060 train_acc=58.37% | val_loss=2.10695 val_acc=58.61%
Epoch  89 | train_loss=2.10654 train_acc=58.48% | val_loss=2.11044 val_acc=59.21%
Epoch  90 | train_loss=2.09394 train_acc=58.74% | val_loss=2.08918 val_acc=59.45%
Epoch  91 | train_loss=2.08307 train_acc=59.32% | val_loss=1.96869 val_acc=62.46%
Epoch  92 | train_loss=2.08069 train_acc=59.19% | val_loss=2.06089 val_acc=59.37%
Epoch  93 | train_loss=2.07967 train_acc=59.16% | val_loss=2.05583 val_acc=60.47%
Epoch  94 | train_loss=2.07670 train_acc=59.41% | val_loss=2.08459 val_acc=59.20%
Epoch  95 | train_loss=2.06916 train_acc=59.44% | val_loss=2.14029 val_acc=57.96%
Epoch  96 | train_loss=2.06704 train_acc=60.00% | val_loss=2.15613 val_acc=57.35%
Epoch  97 | train_loss=2.05092 train_acc=60.15% | val_loss=2.13986 val_acc=58.17%
Epoch  98 | train_loss=2.04771 train_acc=60.16% | val_loss=2.15059 val_acc=57.15%
Epoch  99 | train_loss=2.03866 train_acc=60.68% | val_loss=1.94932 val_acc=63.01%
Epoch 100 | train_loss=2.03470 train_acc=60.81% | val_loss=2.16298 val_acc=57.44%
Epoch 101 | train_loss=2.02627 train_acc=60.87% | val_loss=1.90839 val_acc=64.14%
Epoch 102 | train_loss=2.01890 train_acc=61.10% | val_loss=2.05842 val_acc=60.12%
Epoch 103 | train_loss=2.00774 train_acc=61.56% | val_loss=1.93090 val_acc=63.38%
Epoch 104 | train_loss=2.00437 train_acc=61.36% | val_loss=2.09159 val_acc=59.18%
Epoch 105 | train_loss=2.00130 train_acc=61.58% | val_loss=1.95597 val_acc=62.96%
Epoch 106 | train_loss=1.99722 train_acc=61.72% | val_loss=1.86621 val_acc=66.50%
Epoch 107 | train_loss=1.98756 train_acc=62.04% | val_loss=1.90385 val_acc=64.44%
Epoch 108 | train_loss=1.97980 train_acc=62.30% | val_loss=2.03499 val_acc=61.39%
Epoch 109 | train_loss=1.97021 train_acc=62.73% | val_loss=2.02422 val_acc=60.89%
Epoch 110 | train_loss=1.96485 train_acc=62.53% | val_loss=1.90310 val_acc=63.98%
Epoch 111 | train_loss=1.96131 train_acc=62.70% | val_loss=1.89576 val_acc=65.01%
Epoch 112 | train_loss=1.94576 train_acc=63.34% | val_loss=1.97198 val_acc=62.95%
Epoch 113 | train_loss=1.93171 train_acc=63.78% | val_loss=1.89691 val_acc=64.98%
Epoch 114 | train_loss=1.93835 train_acc=63.71% | val_loss=1.88831 val_acc=64.91%
Epoch 115 | train_loss=1.92529 train_acc=63.88% | val_loss=1.86913 val_acc=65.53%
Epoch 116 | train_loss=1.91653 train_acc=64.32% | val_loss=1.91566 val_acc=64.65%
Epoch 117 | train_loss=1.91031 train_acc=64.24% | val_loss=1.85281 val_acc=65.81%
Epoch 118 | train_loss=1.89847 train_acc=64.78% | val_loss=1.96660 val_acc=63.15%
