============================================
MODEL SUMMARY — WideResNet-16-2 + SE Attention
============================================
Dataset:          Animals-5 (Custom)
Image size:       32x32
Classes:          5 (butterfly, cat, chicken, dog, horse)
Train samples:    2500
Test samples:     250
Total params:     696,881
Trainable params: 696,881
Epochs:           100
Batch size:       128
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov)
Scheduler:        CosineAnnealingLR
Augmentation:     Resize + RandomCrop + HFlip + ColorJitter + Cutout
Label smoothing:  0.1
Dropout:          0.3
Best test acc:    78.80%
============================================

--- Epoch-by-epoch log ---
Epoch   1 | train_loss=1.56568 train_acc=29.40% | val_loss=1.62541 val_acc=27.20%
Epoch   2 | train_loss=1.48706 train_acc=36.24% | val_loss=1.49621 val_acc=39.20%
Epoch   3 | train_loss=1.43786 train_acc=40.56% | val_loss=1.50619 val_acc=42.00%
Epoch   4 | train_loss=1.40058 train_acc=44.40% | val_loss=1.41083 val_acc=48.40%
Epoch   5 | train_loss=1.35883 train_acc=45.20% | val_loss=1.36544 val_acc=48.40%
Epoch   6 | train_loss=1.33280 train_acc=48.72% | val_loss=1.48822 val_acc=45.60%
Epoch   7 | train_loss=1.29875 train_acc=50.32% | val_loss=1.44885 val_acc=51.20%
Epoch   8 | train_loss=1.26614 train_acc=52.48% | val_loss=1.31864 val_acc=55.60%
Epoch   9 | train_loss=1.23870 train_acc=53.48% | val_loss=1.33085 val_acc=56.80%
Epoch  10 | train_loss=1.20975 train_acc=55.44% | val_loss=1.33332 val_acc=54.80%
Epoch  11 | train_loss=1.20042 train_acc=55.96% | val_loss=1.55201 val_acc=54.00%
Epoch  12 | train_loss=1.16820 train_acc=57.88% | val_loss=1.21303 val_acc=57.60%
Epoch  13 | train_loss=1.14305 train_acc=58.56% | val_loss=1.30290 val_acc=56.80%
Epoch  14 | train_loss=1.11431 train_acc=61.84% | val_loss=1.24316 val_acc=60.80%
Epoch  15 | train_loss=1.09573 train_acc=62.84% | val_loss=1.38594 val_acc=50.80%
Epoch  16 | train_loss=1.09477 train_acc=63.16% | val_loss=1.21406 val_acc=60.00%
Epoch  17 | train_loss=1.07182 train_acc=63.84% | val_loss=1.43955 val_acc=56.80%
Epoch  18 | train_loss=1.04429 train_acc=64.40% | val_loss=1.20253 val_acc=64.40%
Epoch  19 | train_loss=1.05386 train_acc=65.32% | val_loss=1.21022 val_acc=60.00%
