============================================
MODEL SUMMARY — WideResNet-16-2 + SE Attention
============================================
Dataset:          Animals-5 (Custom)
Image size:       224x224
Classes:          5 (butterfly, cat, chicken, dog, horse)
Train samples:    2500
Test samples:     250
Total params:     696,881
Trainable params: 696,881
Epochs:           100
Batch size:       32
Optimizer:        SGD (lr=0.1, momentum=0.9, wd=0.0005, nesterov)
Scheduler:        CosineAnnealingLR
Augmentation:     Resize + RandomCrop + HFlip + ColorJitter + Cutout
Label smoothing:  0.1
Dropout:          0.3
Best test acc:    80.40%
============================================

--- Epoch-by-epoch log ---
Epoch  61 | train_loss=0.80710 train_acc=78.88% | val_loss=1.02561 val_acc=68.40%
Epoch  62 | train_loss=0.80125 train_acc=80.24% | val_loss=1.06608 val_acc=70.40%
Epoch  63 | train_loss=0.81301 train_acc=78.24% | val_loss=1.47693 val_acc=60.40%
Epoch  64 | train_loss=0.80625 train_acc=79.00% | val_loss=0.98630 val_acc=72.40%
Epoch  65 | train_loss=0.77405 train_acc=81.32% | val_loss=0.94496 val_acc=77.60%
Epoch  66 | train_loss=0.79037 train_acc=79.80% | val_loss=0.88451 val_acc=76.00%
Epoch  67 | train_loss=0.79778 train_acc=79.88% | val_loss=1.30134 val_acc=60.00%
Epoch  68 | train_loss=0.77383 train_acc=81.48% | val_loss=0.95521 val_acc=72.40%
Epoch  69 | train_loss=0.76457 train_acc=82.04% | val_loss=1.03470 val_acc=73.60%
Epoch  70 | train_loss=0.74964 train_acc=82.96% | val_loss=1.07471 val_acc=68.80%
Epoch  71 | train_loss=0.73395 train_acc=83.20% | val_loss=0.89684 val_acc=74.40%
Epoch  72 | train_loss=0.74888 train_acc=82.84% | val_loss=0.93925 val_acc=73.20%
Epoch  73 | train_loss=0.73558 train_acc=82.72% | val_loss=0.86192 val_acc=80.40%
Epoch  74 | train_loss=0.72912 train_acc=83.92% | val_loss=1.22832 val_acc=68.80%
Epoch  75 | train_loss=0.72306 train_acc=83.84% | val_loss=0.94272 val_acc=78.00%
Epoch  76 | train_loss=0.72892 train_acc=84.24% | val_loss=1.07054 val_acc=68.80%
Epoch  77 | train_loss=0.72766 train_acc=84.00% | val_loss=0.83731 val_acc=80.40%
Epoch  78 | train_loss=0.68907 train_acc=86.32% | val_loss=1.18320 val_acc=63.60%
Epoch  79 | train_loss=0.68951 train_acc=86.80% | val_loss=1.13763 val_acc=72.40%
Epoch  80 | train_loss=0.68441 train_acc=86.80% | val_loss=0.82822 val_acc=80.00%
Epoch  81 | train_loss=0.67679 train_acc=86.64% | val_loss=0.99437 val_acc=78.00%
Epoch  82 | train_loss=0.67872 train_acc=87.40% | val_loss=0.96503 val_acc=75.60%
Epoch  83 | train_loss=0.65977 train_acc=87.88% | val_loss=0.88517 val_acc=79.60%
Epoch  84 | train_loss=0.65323 train_acc=87.88% | val_loss=0.84703 val_acc=80.00%
Epoch  85 | train_loss=0.64517 train_acc=88.84% | val_loss=1.08512 val_acc=72.80%
Epoch  86 | train_loss=0.64813 train_acc=89.00% | val_loss=0.99982 val_acc=76.00%
Epoch  87 | train_loss=0.63763 train_acc=90.08% | val_loss=0.93951 val_acc=76.40%
Epoch  88 | train_loss=0.63134 train_acc=89.32% | val_loss=0.92697 val_acc=77.20%
Epoch  89 | train_loss=0.63230 train_acc=89.72% | val_loss=0.93899 val_acc=76.40%
Epoch  90 | train_loss=0.62940 train_acc=89.92% | val_loss=0.92841 val_acc=77.60%
Epoch  91 | train_loss=0.61472 train_acc=90.80% | val_loss=0.92147 val_acc=76.80%
Epoch  92 | train_loss=0.60936 train_acc=91.48% | val_loss=1.02622 val_acc=75.20%
Epoch  93 | train_loss=0.60635 train_acc=91.16% | val_loss=0.94242 val_acc=74.80%
Epoch  94 | train_loss=0.60019 train_acc=91.76% | val_loss=1.00872 val_acc=76.40%
Epoch  95 | train_loss=0.59638 train_acc=91.52% | val_loss=1.02576 val_acc=75.60%
Epoch  96 | train_loss=0.59008 train_acc=92.00% | val_loss=1.00108 val_acc=73.60%
Epoch  97 | train_loss=0.58796 train_acc=92.16% | val_loss=0.97132 val_acc=75.60%
Epoch  98 | train_loss=0.58459 train_acc=93.24% | val_loss=1.02514 val_acc=75.20%
Epoch  99 | train_loss=0.59419 train_acc=92.12% | val_loss=0.98651 val_acc=75.60%
Epoch 100 | train_loss=0.58991 train_acc=92.28% | val_loss=1.00807 val_acc=75.20%
